#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
35.154	509	35.179	669
35.204	526	35.230	660
35.255	542	35.281	646
35.305	554	35.331	628
35.357	562	35.382	608
35.407	567	35.432	586
35.458	568	35.483	564
35.508	563	35.534	543
35.559	555	35.585	523
35.609	543	35.635	506
35.661	528	35.686	493
35.711	510	35.736	485
35.762	491	35.788	481
35.812	471	35.838	484
35.863	453	35.889	489
35.914	435	35.939	500
35.965	420	35.990	514
36.015	408	36.041	532
36.066	400	36.092	552
36.116	397	36.142	572
36.168	397	36.193	594
36.218	403	36.243	613
36.269	413	36.294	630
36.319	426	36.345	645
36.370	442	36.396	656
36.420	461	36.446	662
36.472	481	36.497	665
36.522	500	36.547	662
36.573	520	36.599	655
36.623	538	36.649	645
36.674	553	36.700	631
36.725	564	36.750	614
36.776	571	36.801	595
36.826	574	36.852	576
36.877	571	36.903	556
36.927	564	36.953	539
36.979	554	37.004	522
37.029	539	37.054	509
37.080	522	37.106	501
37.130	502	37.156	495
37.181	481	37.207	494
37.231	460	37.257	497
37.283	441	37.308	504
37.333	423	37.358	515
37.384	410	37.410	529
37.434	399	37.460	546
37.485	393	37.511	563
37.536	392	37.561	582
37.587	395	37.612	599
37.637	403	37.663	616
37.688	416	37.714	629
37.738	431	37.764	641
37.790	450	37.815	648
37.840	471	37.865	652
37.891	492	37.917	652
37.941	513	37.967	649
37.992	533	38.018	641
38.042	550	38.068	630
38.094	563	38.119	616
38.144	573	38.169	601
38.195	577	38.221	585
38.245	577	38.271	568
38.296	573	38.322	552
38.347	563	38.372	537
38.398	550	38.423	525
38.448	533	38.474	515
38.499	513	38.525	509
38.549	492	38.575	506
38.601	470	38.626	507
38.651	448	38.676	511
38.702	430	38.728	519
38.752	413	38.778	530
38.803	400	38.829	544
38.853	391	38.879	558
38.905	388	38.930	573
38.955	389	38.980	588
39.006	396	39.032	603
39.056	406	39.082	615
39.107	421	39.133	626
39.158	439	39.183	634
39.209	460	39.234	639
39.259	482	39.285	641
39.310	504	39.336	639
39.360	525	39.386	634
39.412	544	39.437	627
39.462	560	39.487	616
39.513	572	39.539	605
39.563	579	39.589	591
39.614	582	39.640	577
39.664	579	39.690	563
39.716	571	39.741	550
39.767	559	39.791	539
39.817	543	39.843	529
39.868	524	39.893	524
39.918	502	39.944	519
39.970	480	39.994	519
40.020	458	40.045	521
40.071	437	40.096	526
40.121	418	40.147	533
40.172	403	40.197	543
40.223	392	40.248	555
40.274	386	40.298	566
40.324	385	40.350	579
40.375	389	40.400	591
40.425	398	40.451	602
40.477	412	40.501	612
40.527	429	40.552	620
40.578	449	40.602	624
40.628	471	40.654	627
40.679	493	40.704	628
40.729	516	40.755	625
40.781	537	40.805	620
40.831	555	40.856	614
40.882	569	40.907	605
40.932	579	40.958	594
40.983	583	41.008	584
41.034	583	41.059	571
41.085	578	41.109	562
41.135	568	41.161	553
41.186	553	41.211	544
41.236	534	41.262	538
41.288	514	41.312	534
41.338	491	41.363	532
41.389	468	41.413	532
41.439	446	41.465	535
41.490	425	41.515	539
41.540	409	41.566	546
41.592	395	41.616	554
41.642	386	41.667	563
41.693	383	41.718	572
41.743	385	41.769	583
41.794	392	41.819	591
41.845	404	41.870	599
41.896	419	41.920	606
41.946	439	41.972	611
41.997	460	42.022	614
42.047	483	42.073	616
42.099	506	42.123	615
42.149	528	42.174	612
42.200	547	42.224	608
42.250	564	42.276	602
42.301	576	42.326	595
42.351	583	42.377	587
42.403	586	42.427	579
42.453	582	42.478	570
42.504	574	42.529	564
42.554	561	42.580	556
42.605	544	42.630	552
42.656	524	42.681	548
42.707	502	42.732	545
42.757	479	42.783	544
42.808	456	42.834	545
42.858	435	42.884	548
42.910	415	42.935	552
42.960	400	42.985	557
43.011	389	43.037	562
43.061	383	43.087	569
43.112	382	43.138	576
43.162	388	43.188	582
43.214	397	43.239	588
43.264	411	43.289	593
43.315	429	43.341	598
43.365	449	43.391	601
43.416	472	43.442	603
43.467	495	43.492	603
43.518	518	43.543	602
43.568	539	43.594	600
43.619	557	43.645	597
43.669	571	43.695	593
43.721	580	43.746	588
43.771	585	43.796	582
43.822	585	43.848	577
43.872	579	43.898	573
43.923	568	43.949	567
43.973	553	43.999	563
44.025	535	44.050	560
44.075	513	44.100	558
44.126	490	44.152	557
44.176	467	44.202	557
44.227	444	44.253	558
44.278	424	44.303	559
44.329	407	44.354	562
44.379	395	44.405	565
44.430	386	44.456	568
44.480	383	44.506	573
44.532	385	44.557	576
44.582	392	44.607	579
44.633	404	44.659	583
44.683	420	44.709	586
44.734	440	44.760	588
44.784	461	44.810	589
44.836	484	44.861	591
44.886	508	44.911	591
44.937	529	44.963	590
44.987	549	45.013	589
45.038	564	45.064	588
45.089	576	45.114	586
45.140	583	45.165	583
45.190	585	45.216	581
45.241	581	45.267	578
45.291	573	45.317	576
45.343	560	45.368	574
45.393	543	45.418	572
45.444	523	45.470	571
45.494	501	45.520	570
45.545	478	45.571	569
45.595	456	45.621	569
45.647	434	45.672	569
45.697	416	45.722	569
45.748	401	45.774	570
45.798	391	45.824	571
45.849	385	45.875	571
45.900	384	45.925	572
45.951	390	45.976	573
46.002	399	46.027	575
46.052	413	46.078	575
46.103	431	46.128	576
46.154	451	46.179	577
46.205	473	46.229	578
46.255	496	46.281	578
46.306	519	46.331	579
46.356	539	46.382	580
46.408	557	46.432	580
46.458	570	46.483	581
46.509	579	46.533	581
46.559	583	46.585	581
46.610	582	46.635	582
46.660	576	46.686	582
46.712	565	46.736	582
46.762	550	46.787	581
46.813	532	46.838	582
46.863	511	46.889	581
46.914	489	46.939	581
46.965	466	46.990	580
47.016	444	47.040	578
47.066	425	47.092	577
47.117	409	47.142	576
47.167	397	47.193	575
47.219	389	47.243	573
47.269	387	47.294	571
47.320	389	47.344	571
47.370	396	47.396	569
47.421	408	47.446	568
47.471	424	47.497	567
47.523	443	47.547	567
47.573	464	47.598	567
47.624	486	47.649	568
47.674	508	47.700	569
47.725	529	47.750	571
47.776	547	47.801	573
47.827	562	47.851	576
47.877	573	47.903	578
47.928	579	47.953	581
47.978	580	48.004	583
48.030	576	48.054	586
48.080	569	48.105	588
48.131	556	48.155	590
48.181	539	48.207	591
48.232	520	48.257	592
48.282	499	48.308	591
48.334	477	48.358	590
48.384	456	48.409	589
48.435	436	48.460	586
48.485	418	48.511	583
48.536	405	48.561	580
48.587	395	48.612	576
48.638	390	48.662	573
48.688	390	48.714	568
48.739	395	48.764	565
48.789	405	48.815	562
48.841	418	48.865	559
48.891	436	48.916	558
48.942	455	48.966	557
48.992	475	49.018	558
49.043	497	49.069	560
49.093	519	49.119	562
49.145	537	49.170	564
49.195	553	49.220	569
49.246	565	49.272	573
49.296	573	49.322	578
49.347	577	49.373	583
49.398	576	49.423	588
49.449	570	49.474	592
49.499	559	49.525	595
49.550	545	49.576	599
49.600	527	49.626	600
49.652	508	49.677	601
49.702	487	49.727	600
49.753	467	49.779	599
49.803	447	49.829	595
49.854	428	49.880	592
49.904	414	49.930	586
49.956	403	49.981	581
50.006	396	50.031	575
50.057	394	50.083	568
50.107	396	50.133	563
50.158	403	50.184	558
50.209	415	50.234	554
50.260	429	50.285	551
50.310	448	50.336	549
50.361	467	50.387	548
50.411	488	50.437	549
50.463	508	50.488	552
50.513	526	50.538	556
50.564	543	50.590	560
50.614	557	50.640	566
50.665	566	50.691	573
50.715	572	50.741	580
50.767	573	50.792	587
50.817	569	50.842	594
50.868	562	50.894	599
50.918	550	50.944	604
50.969	534	50.995	608
51.020	516	51.045	610
51.071	497	51.096	610
51.121	477	51.147	609
51.172	457	51.198	605
51.222	439	51.248	600
51.274	424	51.299	594
51.324	412	51.349	588
51.375	403	51.401	579
51.425	399	51.451	572
51.476	399	51.502	564
51.526	404	51.552	556
51.578	413	51.603	550
51.628	425	51.653	545
51.679	441	51.705	541
51.729	459	51.755	539
51.780	478	51.806	539
51.831	498	51.856	542
51.882	516	51.907	546
51.932	533	51.958	552
51.983	547	52.009	559
52.033	558	52.059	567
52.085	565	52.110	576
52.135	568	52.160	584
52.186	567	52.212	592
52.236	561	52.262	601
52.287	552	52.313	608
52.338	538	52.363	613
52.389	523	52.414	617
52.439	504	52.464	619
52.490	486	52.516	617
52.540	468	52.566	615
52.591	449	52.617	610
52.642	434	52.667	603
52.693	421	52.718	595
52.743	412	52.769	586
52.794	405	52.820	575
52.844	404	52.870	566
52.896	406	52.921	557
52.946	413	52.971	548
52.997	423	53.023	541
53.047	437	53.073	535
53.098	453	53.124	532
53.149	470	53.174	531
53.200	488	53.225	533
53.250	506	53.275	536
53.301	523	53.327	542
53.351	538	53.377	550
53.402	549	53.428	559
53.453	557	53.478	570
53.504	562	53.529	580
53.555	563	53.580	591
53.605	559	53.631	601
53.656	552	53.681	610
53.707	540	53.732	617
53.758	527	53.782	622
53.808	511	53.834	625
53.859	494	53.884	626
53.909	477	53.935	624
53.961	460	53.985	620
54.011	445	54.036	613
54.062	431	54.086	603
54.112	420	54.138	593
54.163	413	54.188	582
54.213	410	54.239	571
54.265	410	54.289	559
54.315	415	54.340	548
54.366	423	54.391	539
54.416	434	54.442	532
54.467	449	54.492	526
54.518	464	54.543	524
54.569	481	54.593	524
54.619	497	54.645	527
54.670	513	54.695	532
54.720	527	54.746	541
54.772	539	54.796	550
54.822	549	54.847	561
54.873	555	54.898	573
54.923	557	54.949	587
54.974	555	54.999	599
55.024	550	55.050	609
55.076	541	55.100	619
55.126	530	55.151	626
55.177	516	55.202	631
55.227	501	55.253	633
55.278	485	55.303	632
55.329	469	55.354	628
55.380	454	55.404	622
55.430	441	55.456	613
55.481	430	55.506	602
55.531	422	55.557	589
55.583	417	55.607	576
55.633	416	55.658	563
55.684	419	55.709	550
55.734	424	55.760	539
55.785	434	55.810	530
55.835	446	55.861	523
55.887	459	55.911	518
55.937	473	55.962	517
55.988	488	56.013	519
56.038	504	56.064	524
56.089	518	56.114	531
56.140	529	56.165	541
56.191	540	56.215	553
56.241	546	56.267	567
56.292	549	56.317	581
56.342	549	56.368	594
56.394	547	56.418	607
56.444	540	56.469	619
56.495	531	56.520	628
56.545	519	56.571	635
56.596	506	56.622	639
56.646	492	56.672	639
56.698	477	56.723	637
56.748	463	56.773	631
56.799	450	56.825	622
56.849	440	56.875	610
56.900	431	56.926	597
56.951	426	56.976	584
57.002	423	57.027	569
57.052	424	57.078	555
57.103	428	57.129	542
57.153	435	57.179	530
57.205	444	57.230	521
57.255	456	57.280	514
57.306	469	57.332	511
57.356	482	57.382	511
57.407	495	57.433	515
57.458	508	57.483	522
57.509	520	57.534	532
57.559	530	57.584	544
57.610	537	57.636	558
57.660	541	57.686	573
57.711	543	57.737	588
57.762	541	57.787	603
