#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
30.287	533	30.313	528
30.339	528	30.363	500
30.389	520	30.414	475
30.440	511	30.465	456
30.490	498	30.516	444
30.541	486	30.566	439
30.592	473	30.617	441
30.643	460	30.667	450
30.693	448	30.719	465
30.744	437	30.769	487
30.794	429	30.820	513
30.846	424	30.870	543
30.896	421	30.921	573
30.947	420	30.971	605
30.997	424	31.023	634
31.048	430	31.073	660
31.098	439	31.124	682
31.150	450	31.174	698
31.200	463	31.225	708
31.251	477	31.276	712
31.301	491	31.327	708
31.352	505	31.377	699
31.403	518	31.428	682
31.454	529	31.479	660
31.504	538	31.530	635
31.555	543	31.581	606
31.605	545	31.631	576
31.657	544	31.682	546
31.707	539	31.732	518
31.758	531	31.784	493
31.808	521	31.834	473
31.859	509	31.885	459
31.909	494	31.935	450
31.961	479	31.986	449
32.011	464	32.036	453
32.062	449	32.088	465
32.112	436	32.138	482
32.163	425	32.189	505
32.214	417	32.239	531
32.265	413	32.290	559
32.315	411	32.341	589
32.366	413	32.392	617
32.416	419	32.442	643
32.468	428	32.493	666
32.518	439	32.543	683
32.569	454	32.595	695
32.619	469	32.645	702
32.670	485	32.696	702
32.720	501	32.746	695
32.772	516	32.797	683
32.822	530	32.847	665
32.873	540	32.899	643
32.923	548	32.949	617
32.974	553	33.000	590
33.025	553	33.050	562
33.076	550	33.101	535
33.126	543	33.152	510
33.177	533	33.203	489
33.227	520	33.253	473
33.279	504	33.304	463
33.329	487	33.354	458
33.380	470	33.406	460
33.430	454	33.456	468
33.481	438	33.507	481
33.531	424	33.557	499
33.583	413	33.608	522
33.633	406	33.658	547
33.684	403	33.710	574
33.734	404	33.760	601
33.785	408	33.811	626
33.836	416	33.861	648
33.887	428	33.912	668
33.937	443	33.963	680
33.988	459	34.014	690
34.038	477	34.064	692
34.090	495	34.115	688
34.140	513	34.165	680
34.191	528	34.217	667
34.241	541	34.267	648
34.292	552	34.318	626
34.342	559	34.368	602
34.394	562	34.419	577
34.444	560	34.469	552
34.495	554	34.521	528
34.545	544	34.571	507
34.596	531	34.622	490
34.647	515	34.672	478
34.698	497	34.723	471
34.749	478	34.774	470
34.799	460	34.825	473
34.850	442	34.875	483
34.901	426	34.926	498
34.952	412	34.976	517
35.002	403	35.028	539
35.053	397	35.078	562
35.103	395	35.129	587
